Nu15,,,,,,,,,,,,,,,,,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,69340,NA,NA,10.000,10.032,0%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,66228,NA,NA,10.000,9.582,-4%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,68510,NA,NA,10.000,9.912,-1%,1.5%,,3,,1.64,CalC,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,7765,NA,NA,1.000,1.118,12%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,8748,NA,NA,1.000,1.261,26%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,8573,NA,NA,1.000,1.235,24%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,7868,NA,NA,1.000,1.133,13%,5.3%,,4,,1.62,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,7798,NA,NA,1.000,1.123,12%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,7807,NA,NA,1.000,1.125,12%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,7493,NA,NA,1.000,1.079,8%,5.3%,,4,,1.63,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,7997,NA,NA,1.000,1.152,15%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,7594,NA,NA,1.000,1.094,9%,5.3%,,4,,1.64,CalD,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,3807,NA,NA,0.500,0.545,9%,5.8%,,5,,1.64,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,3348,NA,NA,0.500,0.479,-4%,5.8%,,5,,1.64,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,3495,NA,NA,0.500,0.500,0%,5.8%,,5,,1.62,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,3261,NA,NA,0.500,0.466,-7%,5.8%,,5,,1.64,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,3235,NA,NA,0.500,0.463,-7%,5.8%,,5,,1.65,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,3276,NA,NA,0.500,0.469,-6%,5.8%,,5,,1.64,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,3407,NA,NA,0.500,0.488,-2%,5.8%,,5,,1.64,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,3325,NA,NA,0.500,0.476,-5%,5.8%,,5,,1.62,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,3132,NA,NA,0.500,0.448,-10%,5.8%,,5,,1.62,CalE,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,638,NA,NA,0.100,0.087,-13%,14.1%,,6,,1.64,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,533,NA,NA,0.100,0.071,-29%,14.1%,,6,,1.61,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,601,NA,NA,0.100,0.081,-19%,14.1%,,6,,1.65,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,768,NA,NA,0.100,0.105,5%,14.1%,,6,,1.62,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,622,NA,NA,0.100,0.084,-16%,14.1%,,6,,1.64,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,806,NA,NA,0.100,0.111,11%,14.1%,,6,,1.63,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,595,NA,NA,0.100,0.080,-20%,14.1%,,6,,1.65,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,614,NA,NA,0.100,0.083,-17%,14.1%,,6,,1.62,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,568,NA,NA,0.100,0.076,-24%,14.1%,,6,,1.62,CalF,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,479,NA,NA,0.050,0.064,27%,22.6%,,7,,1.64,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,389,NA,NA,0.050,0.051,1%,22.6%,,7,,1.61,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,505,NA,NA,0.050,0.067,35%,22.6%,,7,,1.64,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,287,NA,NA,0.050,0.036,-28%,22.6%,,7,,1.62,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,366,NA,NA,0.050,0.047,-6%,22.6%,,7,,1.65,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,262,NA,NA,0.050,0.032,-35%,22.6%,,7,,1.70,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,405,NA,NA,0.050,0.053,6%,22.6%,,7,,1.64,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,328,NA,NA,0.050,0.042,-16%,22.6%,,7,,1.61,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,486,NA,NA,0.050,0.065,29%,22.6%,,7,,1.61,CalG,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,113,NA,NA,0.010,0.011,7%,125.9%,,8,,1.71,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,159,NA,NA,0.010,0.017,72%,125.9%,,8,,1.63,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,95,NA,NA,0.010,0.008,-20%,125.9%,Response Low,8,,1.65,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu15,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,79,NA,NA,0.010,0.006,-42%,125.9%,Response Low,8,,1.61,CalH,
Nu15,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,126,NA,NA,NA,0.012,NA,NA,,NA,,1.65,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,83,NA,NA,NA,0.006,NA,NA,Response Low,NA,,1.67,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,142,NA,NA,NA,0.015,NA,NA,,NA,,1.67,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,637,NA,NA,NA,0.087,NA,NA,,NA,,1.43,blank,
Nu15,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,617,NA,NA,NA,0.084,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,415,NA,NA,NA,0.054,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,662,NA,NA,NA,0.090,NA,NA,,NA,,1.42,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,548,NA,NA,NA,0.074,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,384,NA,NA,NA,0.050,NA,NA,,NA,,1.49,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,474,NA,NA,NA,0.063,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,533,NA,NA,NA,0.071,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,443,NA,NA,NA,0.058,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,504,NA,NA,NA,0.067,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,544,NA,NA,NA,0.073,NA,NA,,NA,,1.40,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,606,NA,NA,NA,0.082,NA,NA,,NA,,1.38,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,533,NA,NA,NA,0.071,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,517,NA,NA,NA,0.069,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,536,NA,NA,NA,0.072,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,542,NA,NA,NA,0.073,NA,NA,,NA,,1.42,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,530,NA,NA,NA,0.071,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,474,NA,NA,NA,0.063,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,437,NA,NA,NA,0.058,NA,NA,,NA,,1.39,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,382,NA,NA,NA,0.050,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,512,NA,NA,NA,0.068,NA,NA,,NA,,1.42,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,495,NA,NA,NA,0.066,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,575,NA,NA,NA,0.077,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,647,NA,NA,NA,0.088,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,561,NA,NA,NA,0.076,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,548,NA,NA,NA,0.074,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,512,NA,NA,NA,0.068,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,360,NA,NA,NA,0.046,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,495,NA,NA,NA,0.066,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,387,NA,NA,NA,0.050,NA,NA,,NA,,1.42,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,488,NA,NA,NA,0.065,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,443,NA,NA,NA,0.058,NA,NA,,NA,,1.42,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,463,NA,NA,NA,0.061,NA,NA,,NA,,1.45,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,376,NA,NA,NA,0.049,NA,NA,,NA,,1.44,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,634,NA,NA,NA,0.086,NA,NA,,NA,,1.40,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,602,NA,NA,NA,0.081,NA,NA,,NA,,1.41,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,489,NA,NA,NA,0.065,NA,NA,,NA,,1.47,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,591,NA,NA,NA,0.080,NA,NA,,NA,,1.41,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,724,NA,NA,NA,0.099,NA,NA,,NA,,1.42,wash,
Nu15,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,761,NA,NA,NA,0.104,NA,NA,,NA,,1.43,wash,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,307,NA,NA,NA,0.039,NA,NA,,NA,,1.64,M1_S1 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,193,NA,NA,NA,0.022,NA,NA,,NA,,1.66,M1_S1 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,154,NA,NA,NA,0.017,NA,NA,,NA,,1.64,M1_S1 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,136,NA,NA,NA,0.014,NA,NA,,NA,,1.65,M1_S1_Col 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,129,NA,NA,NA,0.013,NA,NA,,NA,,1.61,M1_S1_Col 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,232,NA,NA,NA,0.028,NA,NA,,NA,,1.62,M1_S1_Col 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,125,NA,NA,NA,0.012,NA,NA,,NA,,1.64,M1_S1_Col 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,206,NA,NA,NA,0.024,NA,NA,,NA,,1.59,M1_S1_Col 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,143,NA,NA,NA,0.015,NA,NA,,NA,,1.66,M1_S1_Extr 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,204,NA,NA,NA,0.024,NA,NA,,NA,,1.61,M1_S1_Extr 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu15,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,219,NA,NA,NA,0.026,NA,NA,,NA,,1.66,M1A 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1A_1to100_02,Unknown Sample,,Method Settings,196,NA,NA,NA,0.023,NA,NA,,NA,,1.60,M1A 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1A_1to100_03,Unknown Sample,,Method Settings,148,NA,NA,NA,0.016,NA,NA,,NA,,1.60,M1A 1to100,
Nu15,20181029_GM_2O-Me_Exp_M1A_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1A 1to10k,
