Nu5,,,,,,,,,,,,,,,,,
Nu5,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,1588,NA,NA,0.500,0.461,-8%,10.7%,,5,,3.77,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,1848,NA,NA,0.500,0.540,8%,10.7%,,5,,3.76,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,351,NA,NA,0.100,0.081,-19%,12.8%,,6,,3.72,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,373,NA,NA,0.100,0.088,-12%,12.8%,,6,,3.70,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,338,NA,NA,0.100,0.078,-22%,12.8%,,6,,3.75,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,398,NA,NA,0.100,0.096,-4%,12.8%,,6,,3.72,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,293,NA,NA,0.100,0.063,-37%,12.8%,,6,,3.69,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,428,NA,NA,0.100,0.105,5%,12.8%,,6,,3.73,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,418,NA,NA,0.100,0.102,2%,12.8%,,6,,3.77,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,307,NA,NA,0.100,0.068,-32%,12.8%,,6,,3.74,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,359,NA,NA,0.100,0.084,-16%,12.8%,,6,,3.73,CalF,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,227,NA,NA,0.050,0.043,-14%,76.4%,Response Low,7,,3.72,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,232,NA,NA,0.050,0.045,-10%,76.4%,Response Low,7,,3.77,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,259,NA,NA,0.050,0.053,6%,76.4%,,7,,3.76,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,265,NA,NA,0.050,0.055,10%,76.4%,,7,,3.72,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,229,NA,NA,0.050,0.044,-12%,76.4%,Response Low,7,,3.77,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,185,NA,NA,0.050,0.031,-39%,76.4%,Response Low,7,,3.75,CalG,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu5,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,3102,NA,NA,NA,0.925,NA,NA,,NA,,3.73,M1_S1 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,2552,NA,NA,NA,0.756,NA,NA,,NA,,3.73,M1_S1 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,2740,NA,NA,NA,0.814,NA,NA,,NA,,3.73,M1_S1 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,2014,NA,NA,NA,0.591,NA,NA,,NA,,3.75,M1_S1_Col 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,1812,NA,NA,NA,0.529,NA,NA,,NA,,3.75,M1_S1_Col 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,2088,NA,NA,NA,0.614,NA,NA,,NA,,3.74,M1_S1_Col 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,1563,NA,NA,NA,0.453,NA,NA,,NA,,3.75,M1_S1_Extr 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,1286,NA,NA,NA,0.368,NA,NA,,NA,,3.72,M1_S1_Extr 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,1355,NA,NA,NA,0.389,NA,NA,,NA,,3.71,M1_S1_Extr 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu5,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,3295,NA,NA,NA,0.984,NA,NA,,NA,,3.74,M1A 1to100,
Nu5,20181029_GM_2O-Me_Exp_M1A_1to100_02,Unknown Sample,,Method Settings,3011,NA,NA,NA,0.897,NA,NA,,NA,,3.76,M1A 1to100,
