Nu9,,,,,,,,,,,,,,,,,
Nu9,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,87947,NA,NA,50.000,53.147,6%,2.7%,,2,,4.30,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,85146,NA,NA,50.000,51.453,3%,2.7%,,2,,4.30,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,82259,NA,NA,50.000,49.706,-1%,2.7%,,2,,4.34,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,83287,NA,NA,50.000,50.328,1%,2.7%,,2,,4.35,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,81976,NA,NA,50.000,49.535,-1%,2.7%,,2,,4.35,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,85393,NA,NA,50.000,51.602,3%,2.7%,,2,,4.38,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,88552,NA,NA,50.000,53.514,7%,2.7%,,2,,4.39,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,84542,NA,NA,50.000,51.088,2%,2.7%,,2,,4.38,CalB,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,17742,NA,NA,10.000,10.676,7%,3.9%,,3,,4.35,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,17431,NA,NA,10.000,10.488,5%,3.9%,,3,,4.35,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,17837,NA,NA,10.000,10.734,7%,3.9%,,3,,4.34,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,16666,NA,NA,10.000,10.025,0%,3.9%,,3,,4.32,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,17246,NA,NA,10.000,10.376,4%,3.9%,,3,,4.34,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,16231,NA,NA,10.000,9.762,-2%,3.9%,,3,,4.35,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,17270,NA,NA,10.000,10.391,4%,3.9%,,3,,4.38,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,18476,NA,NA,10.000,11.120,11%,3.9%,,3,,4.38,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,17838,NA,NA,10.000,10.734,7%,3.9%,,3,,4.40,CalC,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,2307,NA,NA,1.000,1.338,34%,10.5%,,4,,4.36,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,2266,NA,NA,1.000,1.314,31%,10.5%,,4,,4.33,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,2140,NA,NA,1.000,1.238,24%,10.5%,,4,,4.35,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,1817,NA,NA,1.000,1.042,4%,10.5%,,4,,4.34,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,1963,NA,NA,1.000,1.130,13%,10.5%,,4,,4.33,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,1903,NA,NA,1.000,1.094,9%,10.5%,,4,,4.33,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,1838,NA,NA,1.000,1.055,6%,10.5%,,4,,4.36,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,1700,NA,NA,1.000,0.971,-3%,10.5%,,4,,4.41,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,1935,NA,NA,1.000,1.114,11%,10.5%,,4,,4.35,CalD,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,779,NA,NA,0.500,0.414,-17%,16.9%,,5,,4.35,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,961,NA,NA,0.500,0.524,5%,16.9%,,5,,4.37,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,649,NA,NA,0.500,0.335,-33%,16.9%,,5,,4.35,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,661,NA,NA,0.500,0.343,-31%,16.9%,,5,,4.40,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,785,NA,NA,0.500,0.418,-16%,16.9%,,5,,4.38,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,746,NA,NA,0.500,0.395,-21%,16.9%,,5,,4.37,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,992,NA,NA,0.500,0.543,9%,16.9%,,5,,4.38,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,891,NA,NA,0.500,0.482,-4%,16.9%,,5,,4.38,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,1023,NA,NA,0.500,0.562,12%,16.9%,,5,,4.38,CalE,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.100,NF,NF,NF,Not Found,6,,NF,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,217,NA,NA,0.100,0.074,-26%,76.2%,Response Low,6,,4.29,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,212,NA,NA,0.100,0.071,-29%,76.2%,Response Low,6,,4.37,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,233,NA,NA,0.100,0.084,-16%,76.2%,Response Low,6,,4.33,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,288,NA,NA,0.100,0.118,18%,76.2%,,6,,4.32,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,232,NA,NA,0.100,0.083,-17%,76.2%,Response Low,6,,4.32,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,236,NA,NA,0.100,0.086,-14%,76.2%,Response Low,6,,4.33,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.100,NF,NF,NF,Not Found,6,,NF,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,NF,NA,NF,0.100,NF,NF,NF,Not Found,6,,NF,CalF,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,NF,NA,NF,0.050,NF,NF,NF,Not Found,7,,NF,CalG,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu9,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Col 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to100,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,M1_S1_Extr 1to10k,
Nu9,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,8779,NA,NA,NA,5.254,NA,NA,,NA,,4.36,M1A 1to100,
