Nu6,,,,,,,,,,,,,,,,,
Nu6,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,34069,NA,NA,10.000,9.261,-7%,3.4%,,3,,4.72,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,36206,NA,NA,10.000,9.843,-2%,3.4%,,3,,4.77,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,36172,NA,NA,10.000,9.834,-2%,3.4%,,3,,4.78,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,34747,NA,NA,10.000,9.446,-6%,3.4%,,3,,4.79,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,4136,NA,NA,1.000,1.103,10%,6.1%,,4,,4.74,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,4307,NA,NA,1.000,1.150,15%,6.1%,,4,,4.74,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,4482,NA,NA,1.000,1.197,20%,6.1%,,4,,4.75,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,4562,NA,NA,1.000,1.219,22%,6.1%,,4,,4.73,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,3961,NA,NA,1.000,1.056,6%,6.1%,,4,,4.72,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,4335,NA,NA,1.000,1.158,16%,6.1%,,4,,4.73,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,3913,NA,NA,1.000,1.043,4%,6.1%,,4,,4.75,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,4373,NA,NA,1.000,1.168,17%,6.1%,,4,,4.77,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,3852,NA,NA,1.000,1.026,3%,6.1%,,4,,4.77,CalD,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,1757,NA,NA,0.500,0.455,-9%,5.0%,,5,,4.73,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,1780,NA,NA,0.500,0.461,-8%,5.0%,,5,,4.75,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,1850,NA,NA,0.500,0.480,-4%,5.0%,,5,,4.74,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,1755,NA,NA,0.500,0.454,-9%,5.0%,,5,,4.76,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,1690,NA,NA,0.500,0.437,-13%,5.0%,,5,,4.74,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,1830,NA,NA,0.500,0.475,-5%,5.0%,,5,,4.73,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,1774,NA,NA,0.500,0.459,-8%,5.0%,,5,,4.76,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,1715,NA,NA,0.500,0.443,-11%,5.0%,,5,,4.75,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,1555,NA,NA,0.500,0.400,-20%,5.0%,,5,,4.79,CalE,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,464,NA,NA,0.100,0.103,3%,23.2%,,6,,4.70,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,344,NA,NA,0.100,0.070,-30%,23.2%,,6,,4.70,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,461,NA,NA,0.100,0.102,2%,23.2%,,6,,4.73,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,487,NA,NA,0.100,0.109,9%,23.2%,,6,,4.73,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,365,NA,NA,0.100,0.075,-25%,23.2%,,6,,4.74,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,393,NA,NA,0.100,0.083,-17%,23.2%,,6,,4.70,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,225,NA,NA,0.100,0.037,-63%,23.2%,,6,,4.69,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,382,NA,NA,0.100,0.080,-20%,23.2%,,6,,4.75,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,544,NA,NA,0.100,0.124,24%,23.2%,,6,,4.77,CalF,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,203,NA,NA,0.050,0.031,-37%,37.4%,,7,,4.71,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,287,NA,NA,0.050,0.054,9%,37.4%,,7,,4.73,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,413,NA,NA,0.050,0.089,77%,37.4%,,7,,4.72,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,231,NA,NA,0.050,0.039,-22%,37.4%,,7,,4.72,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,344,NA,NA,0.050,0.070,40%,37.4%,,7,,4.73,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,189,NA,NA,0.050,0.028,-45%,37.4%,,7,,4.67,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,178,NA,NA,0.050,0.024,-51%,37.4%,,7,,4.74,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,115,NA,NA,0.050,0.007,-85%,37.4%,Response Low,7,,4.68,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,232,NA,NA,0.050,0.039,-21%,37.4%,,7,,4.75,CalG,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,111,NA,NA,0.010,0.006,-37%,35.0%,Response Low,8,,4.74,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,112,NA,NA,0.010,0.007,-34%,35.0%,Response Low,8,,4.82,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,186,NA,NA,0.010,0.027,166%,35.0%,,8,,4.77,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,137,NA,NA,0.010,0.013,32%,35.0%,,8,,4.71,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,236,NA,NA,0.010,0.040,303%,35.0%,,8,,4.78,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,132,NA,NA,0.010,0.012,20%,35.0%,,8,,4.76,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,97,NA,NA,0.010,0.002,-76%,35.0%,Response Low,8,,4.73,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,94,NA,NA,0.010,0.002,-83%,35.0%,Response Low,8,,4.70,CalH,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,107,NA,NA,0.010,0.005,-47%,35.0%,Response Low,8,,4.72,CalH,
Nu6,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,146,NA,NA,NA,0.016,NA,NA,,NA,,4.72,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,110,NA,NA,NA,0.006,NA,NA,Response Low,NA,,4.68,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_03,Blank Sample,,Method Settings,109,NA,NA,NA,0.006,NA,NA,Response Low,NA,,4.71,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_04,Blank Sample,,Method Settings,113,NA,NA,NA,0.007,NA,NA,Response Low,NA,,4.75,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_05,Blank Sample,,Method Settings,159,NA,NA,NA,0.019,NA,NA,,NA,,4.67,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_06,Blank Sample,,Method Settings,98,NA,NA,NA,0.003,NA,NA,Response Low,NA,,4.70,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_07,Blank Sample,,Method Settings,186,NA,NA,NA,0.027,NA,NA,,NA,,4.73,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_08,Blank Sample,,Method Settings,160,NA,NA,NA,0.020,NA,NA,,NA,,4.51,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_09,Blank Sample,,Method Settings,133,NA,NA,NA,0.012,NA,NA,,NA,,4.78,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_10,Blank Sample,,Method Settings,83,NA,NA,NA,-0.001,NA,NA,Response Low,NA,,4.74,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_11,Blank Sample,,Method Settings,122,NA,NA,NA,0.009,NA,NA,Response Low,NA,,4.78,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_12,Blank Sample,,Method Settings,120,NA,NA,NA,0.009,NA,NA,Response Low,NA,,4.83,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_13,Blank Sample,,Method Settings,135,NA,NA,NA,0.013,NA,NA,,NA,,4.74,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_14,Blank Sample,,Method Settings,97,NA,NA,NA,0.002,NA,NA,Response Low,NA,,4.76,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_15,Blank Sample,,Method Settings,131,NA,NA,NA,0.012,NA,NA,,NA,,4.83,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_16,Blank Sample,,Method Settings,167,NA,NA,NA,0.022,NA,NA,,NA,,4.74,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_17,Blank Sample,,Method Settings,165,NA,NA,NA,0.021,NA,NA,,NA,,4.72,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_18,Blank Sample,,Method Settings,114,NA,NA,NA,0.007,NA,NA,Response Low,NA,,4.73,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_19,Blank Sample,,Method Settings,198,NA,NA,NA,0.030,NA,NA,,NA,,4.73,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_20,Blank Sample,,Method Settings,150,NA,NA,NA,0.017,NA,NA,,NA,,4.76,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_21,Blank Sample,,Method Settings,146,NA,NA,NA,0.016,NA,NA,,NA,,4.96,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_22,Blank Sample,,Method Settings,197,NA,NA,NA,0.030,NA,NA,,NA,,4.70,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_cal_01,Blank Sample,,Method Settings,113,NA,NA,NA,0.007,NA,NA,Response Low,NA,,4.78,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_cal_02,Blank Sample,,Method Settings,107,NA,NA,NA,0.005,NA,NA,Response Low,NA,,4.73,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_cal_03,Blank Sample,,Method Settings,114,NA,NA,NA,0.007,NA,NA,Response Low,NA,,4.75,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_start_01,Blank Sample,,Method Settings,108,NA,NA,NA,0.006,NA,NA,Response Low,NA,,4.77,blank,
Nu6,20181029_GM_2O-Me_Exp_blank_start_02,Blank Sample,,Method Settings,119,NA,NA,NA,0.008,NA,NA,Response Low,NA,,4.69,blank,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_01,Blank Sample,,Method Settings,86,NA,NA,NA,0.000,NA,NA,Response Low,NA,,4.69,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_02,Blank Sample,,Method Settings,130,NA,NA,NA,0.012,NA,NA,,NA,,4.70,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_03,Blank Sample,,Method Settings,112,NA,NA,NA,0.006,NA,NA,Response Low,NA,,4.77,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_04,Blank Sample,,Method Settings,114,NA,NA,NA,0.007,NA,NA,Response Low,NA,,4.73,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_05,Blank Sample,,Method Settings,103,NA,NA,NA,0.004,NA,NA,Response Low,NA,,4.55,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_06,Blank Sample,,Method Settings,101,NA,NA,NA,0.004,NA,NA,Response Low,NA,,4.78,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_07,Blank Sample,,Method Settings,133,NA,NA,NA,0.012,NA,NA,,NA,,4.81,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_08,Blank Sample,,Method Settings,104,NA,NA,NA,0.004,NA,NA,Response Low,NA,,4.55,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_09,Blank Sample,,Method Settings,127,NA,NA,NA,0.011,NA,NA,,NA,,4.75,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_10,Blank Sample,,Method Settings,85,NA,NA,NA,-0.001,NA,NA,Response Low,NA,,4.68,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_11,Blank Sample,,Method Settings,123,NA,NA,NA,0.010,NA,NA,Response Low,NA,,4.67,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_12,Blank Sample,,Method Settings,106,NA,NA,NA,0.005,NA,NA,Response Low,NA,,4.62,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_13,Blank Sample,,Method Settings,131,NA,NA,NA,0.012,NA,NA,,NA,,4.72,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_14,Blank Sample,,Method Settings,159,NA,NA,NA,0.019,NA,NA,,NA,,4.65,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_15,Blank Sample,,Method Settings,145,NA,NA,NA,0.016,NA,NA,,NA,,4.85,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_16,Blank Sample,,Method Settings,85,NA,NA,NA,-0.001,NA,NA,Response Low,NA,,4.57,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_17,Blank Sample,,Method Settings,138,NA,NA,NA,0.014,NA,NA,,NA,,4.71,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_18,Blank Sample,,Method Settings,166,NA,NA,NA,0.021,NA,NA,,NA,,4.70,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_19,Blank Sample,,Method Settings,115,NA,NA,NA,0.007,NA,NA,Response Low,NA,,4.70,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_20,Blank Sample,,Method Settings,171,NA,NA,NA,0.023,NA,NA,,NA,,4.77,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_21,Blank Sample,,Method Settings,140,NA,NA,NA,0.014,NA,NA,,NA,,4.74,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,144,NA,NA,NA,0.015,NA,NA,,NA,,4.72,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,182,NA,NA,NA,0.026,NA,NA,,NA,,4.73,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,136,NA,NA,NA,0.013,NA,NA,,NA,,4.76,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,125,NA,NA,NA,0.010,NA,NA,,NA,,4.74,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,84,NA,NA,NA,-0.001,NA,NA,Response Low,NA,,4.78,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,96,NA,NA,NA,0.002,NA,NA,Response Low,NA,,4.57,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,161,NA,NA,NA,0.020,NA,NA,,NA,,4.73,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,77,NA,NA,NA,-0.003,NA,NA,Response Low,NA,,4.74,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,99,NA,NA,NA,0.003,NA,NA,Response Low,NA,,4.59,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,136,NA,NA,NA,0.013,NA,NA,,NA,,4.73,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,264,NA,NA,NA,0.048,NA,NA,,NA,,4.78,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,149,NA,NA,NA,0.017,NA,NA,,NA,,4.78,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,122,NA,NA,NA,0.009,NA,NA,Response Low,NA,,4.73,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,232,NA,NA,NA,0.039,NA,NA,,NA,,4.84,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,145,NA,NA,NA,0.016,NA,NA,,NA,,4.72,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,106,NA,NA,NA,0.005,NA,NA,Response Low,NA,,4.78,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,179,NA,NA,NA,0.025,NA,NA,,NA,,4.85,wash,
Nu6,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,1618,NA,NA,NA,0.417,NA,NA,,NA,,4.73,M1_S1 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,1607,NA,NA,NA,0.414,NA,NA,,NA,,4.73,M1_S1 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,1639,NA,NA,NA,0.423,NA,NA,,NA,,4.73,M1_S1 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,150,NA,NA,NA,0.017,NA,NA,,NA,,4.70,M1_S1 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,136,NA,NA,NA,0.013,NA,NA,,NA,,4.79,M1_S1 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,121,NA,NA,NA,0.009,NA,NA,Response Low,NA,,4.72,M1_S1 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,1152,NA,NA,NA,0.290,NA,NA,,NA,,4.73,M1_S1_Col 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,1194,NA,NA,NA,0.302,NA,NA,,NA,,4.71,M1_S1_Col 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,1372,NA,NA,NA,0.350,NA,NA,,NA,,4.74,M1_S1_Col 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,153,NA,NA,NA,0.018,NA,NA,,NA,,4.74,M1_S1_Col 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,141,NA,NA,NA,0.014,NA,NA,,NA,,4.69,M1_S1_Col 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,354,NA,NA,NA,0.072,NA,NA,,NA,,4.74,M1_S1_Col 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,213,NA,NA,NA,0.034,NA,NA,,NA,,4.72,M1_S1_Extr 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,214,NA,NA,NA,0.034,NA,NA,,NA,,4.72,M1_S1_Extr 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,185,NA,NA,NA,0.026,NA,NA,,NA,,4.72,M1_S1_Extr 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_01,Unknown Sample,,Method Settings,185,NA,NA,NA,0.027,NA,NA,,NA,,4.74,M1_S1_Extr 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_02,Unknown Sample,,Method Settings,143,NA,NA,NA,0.015,NA,NA,,NA,,4.74,M1_S1_Extr 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to10k_03,Unknown Sample,,Method Settings,80,NA,NA,NA,-0.002,NA,NA,Response Low,NA,,4.72,M1_S1_Extr 1to10k,
Nu6,20181029_GM_2O-Me_Exp_M1A_1to100_01,Unknown Sample,,Method Settings,1819,NA,NA,NA,0.472,NA,NA,,NA,,4.74,M1A 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1A_1to100_02,Unknown Sample,,Method Settings,1877,NA,NA,NA,0.488,NA,NA,,NA,,4.75,M1A 1to100,
Nu6,20181029_GM_2O-Me_Exp_M1A_1to100_03,Unknown Sample,,Method Settings,2036,NA,NA,NA,0.531,NA,NA,,NA,,4.74,M1A 1to100,
